problem_description,question,answer,incorrect,is_ref
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","the meteor will stay at a constant velocity and then slowly begin to decelerate","3","0"
"A rocket is pushing a meteor with constant force. At one moment the rocket runs out of fuel and stops pushing the meteor. Assume that the meteor is far enough away from the sun and the planets to neglect gravity.","How will the meteor move after the rocket stops pushing?","The meteor will move at a constant speed in the same direction in a straight line.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","They are equal.","0","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The gravity and tension have equal magnitudes.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move with constant velocity and acceleration because there is a constant force being applied","3","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor's speed will increase.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will slow down. This is due to Newton's first law which states that an object in motion will want to stay in motion unless there is an outside force. Since there is an outside force, and therefore accleration, once the acceleration comes to a halt, the meteor will slow down to a stop.","2","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will move with increasing velocity.","0","1"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","When the ball is moving upward, gravitaional force and a force from the ground is acting on the ball. When the ball is midway, gravitational force is acting on it. When the ball is on the ground the gravitational force and normal force acts on the ball.","2","0"
"A basketball player is dribbling a basketball (continuously bouncing the ball off the ground).","What forces are acting on the ball when it is moving upward and it is midway between the player's hand and the ground? Describe the motion of the ball at that moment.","Gravity is the only force acting on the ball. Since the ball's velocity is upward and its acceleration is downward, the ball is slowing down.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor will continue to accelerate due to the rocket's continual applied force. The acceleration will cause the meteor's velocity to continue to increase until a force is no longer applied by the rocket.","0","0"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","How will the meteor move?","The meteor moves with constant acceleration and its velocity will keep increasing in the direction of the force as long as the rocket pushes.","0","1"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The tension force is higher than the force of gravity.","2","0"
"To rescue a child who has fallen down a well, rescue workers fasten him to a rope, the other end of which is then reeled in by a machine. The rope pulls the child straight upward at steady speed.","How does the amount of tension in the rope compare to the downward force of gravity acting on the child?","The amount of tension in the rope is the same as the magnitude of the downward force of gravity.","0","1"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The truck has an equal and opposite reaction the compact car's action on the truck.","0","0"
"While speeding up, a large truck pushes a small compact car.","How does Newton's third law apply to this situation?","The forces from the truck and car are equal and opposite.","0","1"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","the forces acting on the box are a frictional force, a normal force and gravity.","1","0"
"A mover pushes a box so that it slides across a carpeted floor in a straight line at a constant speed. The push is horizontal.","What forces are acting on the box? Which forces balance each other?","The forces are the force of the mover pushing on the box, the force of friction from the floor on the box, the gravitational force from the earth on the box, and the normal force from the floor on the box. Friction balances the push.","0","1"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","an object in motion stays in motion unless acted on by an external net force","3","0"
"Two hockey players pass a puck between them on an ice rink. Assume that the ice is very smooth so that there is no friction.","Can you articulate Newton's first law?","If all the forces acting on an object add up to zero (accounting for the direction of the forces and not just their magnitude) then the acceleration of that object also has to be zero. It can move at a constant speed but it cannot be accelerating.","0","1"
"A rocket pushes a meteor with constant force. Assume that the meteor is initially at rest and is far enough away from the sun and the planets to neglect gravity.","Can you articulate Newton's second law?","AN OBJECT MOVES AT A CONSTANT VELOCITY IF THERE IS NON-ZERO NET FORCE","3","0"
